palavra,lema
entrevista,entrevista
colega,colega
alexandre,Alexandre
palavras,palavra
usarias,usar
descrever,descrever
infância,infância
divertida,divertido
única,único
empolgante,empolgante
inesquecível,inesquecível
acho,achar
inesquecível,inesquecível
palavrachave,palavrachave
cresceste,cresceste
sítio,sítio
vivias,vivo
cresci,crescer
freguesia,freguesia
vivo,viver
atualmente,atualmente
nino,nino
fiz,fazer
amigos,amigo
infância,infância
juventude,Juventude
amigos,amigo
vida,vida
memórias,memória
infância,infância
adolescência,adolescência
alguma,algum
memória,memória
especial,especial
infância,infância
tenha,ter
marcado,marcar
várias,várias
íamos,íamos
catequese,catequese
jogávamos,jogar
esconde-esconde,esconde-esconde
jogo,jogo
macaca,macaca
lencinho,lencinho
memórias,memória
levarei,levar
comigo,comigo
jogar,jogar
bola,bola
mclaren,mclaren
primeiras,primeiro
saídas,saída
amigos,amigo
festas,festa
aniversário,aniversário
carnaval,Carnaval
natal,natal
páscoa,Páscoa
marcou,marcar
brincadeira,brincadeira
preferida,preferer
eras,era
criança,criança
adorava,adorar
jogar,jogar
apanhada,apanhado
pontos-pontos,pontos-pontos
juntávamos,juntar
fosse,ser
durante,durante
semana,semana
férias,férias
íamos,íamos
parque,parque
jogávamos,jogar
rotina,rotina
havia,haver
algum,algum
brinquedo,brinquedo
objeto,objeto
especial,especial
ti,ti
havia,haver
brinquedo,brinquedo
específico,específico
guardo,guardar
carinho,carinho
peças,peça
vestuário,vestuário
jogava,jogar
futebol,futebol
tshirts,tshirt
nome,nome
chuteiras,chuteira
casacos,casaco
evocam,evocar
boas,bom
memórias,memória
infância,infância
experiência,experiência
escola,escola
primária,primária
tinhas,tinha
alguma,algum
disciplina,disciplina
preferida,preferer
gostei,gostar
inglês,inglês
entendia,entender
filmes,filme
sentia,sentir
vontade,vontade
compreender,compreender
gostava,gostar
história,história
claro,claro
futebol,futebol
lembraste,lembrar
amigo,amigo
infância,infância
manténs,manter
contacto,contacto
claro,claro
filho,filho
melhor,bom
amiga,amiga
mãe,mãe
crescemos,crescer
juntos,junto
dormíamos,dormir
casa,casa
outro,outro
passámos,passámos
fins,fim
semana,semana
férias,férias
juntos,junto
amizade,amizade
sólida,sólido
mantemos,mantemo
contacto,contacto
hoje,hoje
rotina,rotina
diária,diário
durante,durante
infância,infância
acordava,acordar
disposto,disposto
passava,passar
dias,dia
casa,casa
infantário,infantário
avó,avó
portugal,Portugal
ficava,ficar
rotina,rotina
simples,simples
marcante,marcante
tinhas,ter
alguma,algum
tradição,tradição
familiar,familiar
especial,especial
lembres,lembrar
carinho,carinho
hoje,hoje
dia,dia
tradição,tradição
domingos,domingo
avô,avô
tio,tio
materno,materno
almoçam,almoçar
casa,casa
pequeno,pequeno
comemoramos,comemoramos
natal,natal
páscoa,Páscoa
juntos,junto
casa,casa
constante,constante
havia,haver
alguma,algum
comida,comida
adoravas,adorava
detestavas,detestava
eras,era
criança,criança
detestava,detestar
pepino,pepino
íamos,íamos
mcdonalds,mcdonalds
pedia,pedir
mãe,mãe
tirar,tirar
pepino,pepino
hoje,hoje
vegetais,vegetal
favoritos,favorito
consigo,consigo
comer,comer
gordura,gordura
carne,carne
quase,quase
hoje,hoje
dia,dia
desejavas,desejar
eras,era
criança,criança
queria,querer
médico,médico
curar,curar
diabetes,diabete
avó,avó
paterna,paterno
percebi,percebi
cura,cura
motivação,motivação
quis,querer
polícia,polícia
influenciado,influenciar
séries,série
americanas,americana
pudesses,pudesses
reviver,reviver
dia,dia
infância,infância
escolherias,escolheria
dia,dia
natal,natal
avó,avó
materna,materno
avô,avô
paterno,paterno
vivos,vivo
estarmos,estar
juntos,junto
mesma,mesmo
mesa,mesa
dia,dia
perfeito,perfeito
reviver,reviver
hesitaria,hesitar
entrevista,entrevista
